id,word,reading,translation-pt-br,jlpt
1,見せる,みせる・miseru,Mostrar,N5
2,鍵,かぎ・kagi,Chave,N5
3,古い,ふるい・furui,Antigo; velho; ultrapassado,N5
4,ご飯,ごはん・gohan,Arroz cozido; refeição,N5
5,交番,こうばん・kouban,Posto policial comunitário,N5
6,厚い,あつい・atsui,Grosso; espesso (tamanho),N5
7,向こう,むこう・mukou,Outro lado; além; ali; lá,N5
8,降る,ふる・furu,Chover; nevar,N5
9,黒い,くろい・kuroi,Preto,N5
10,今晩,こんばん・konban,Hoje à noite; esta noite,N5
11,困る,こまる・komaru,Estar com problemas; estar incomodado,N5
12,座る,すわる・suwaru,Sentar,N5
13,細い,ほそい・hosoi,Fino; estreito,N5
14,撮る,とる・toru,Fotografar; filmar; gravar,N5
15,死ぬ,しぬ・shinu,Morrer,N5
16,若い,わかい・wakai,Jovem; jovial; imaturo,N5
17,弱い,よわい・yowai,Fraco; frágil; delicado,N5
18,習う,ならう・narau,Aprender (com um professor); ser ensinado,N5
19,住む,すむ・sumu,Morar; habitar; residir,N5
20,重い,おもい・omoi,Pesado,N5
21,始め,はじめ・hajime,Início; começo,N5
22,初め,はじめ・hajime,Primeiro; primeira vez,N5
23,暑い,あつい・atsui,Quente (contrário de frio),N5
24,熱い,あつい・atsui,Quente (contrário de gelado),N5
25,小さい,ちいさい・chiisai,Pequeno,N5
26,少ない,すくない・sukunai,Pouco; insuficiente; escasso,N5
27,できる,dekiru,Ser capaz de fazer; estar pronto; estar feito,N5
28,消える,きえる・kieru,Desaparecer; sumir; desligar-se; apagar-se,N5
29,食べる,たべる・taberu,Comer,N5
30,晴れる,はれる・hareru,Ficar ensolarado; clarear (o céu); parar de chover,N5
31,疲れる,つかれる・tsukareru,Se cansar; ficar exausto,N5
32,締める,しめる・shimeru,Amarrar; prender; apertar; vestir gravata ou cinto,N5
33,忙しい,いそがしい・isogashii,Ocupado; agitado,N5
34,面白い,おもしろい・omoshiroi,Interessante; fascinante; divertido; engraçado,N5
35,欲しい,ほしい・hoshii,Desejável; “quero”,N5
36,消す,けす・kesu,"Apagar; remover; eliminar; desligar (luz, TV etc.)",N5
37,涼しい,すずしい・suzushii,Fresquinho; geladinho; refrescante,N5
38,辛い,からい・karai,Picante,N5
39,暖かい,あたたかい・atatakai,Quentinho,N5
40,なる,naru,Tornar-se,N5
41,可愛い,かわいい・kawaii,Fofinho; bonitinho,N5
42,青い,あおい・aoi,"Azul; verde (fruta, semáforo…)",N5
43,飲み物,のみもの・nomimono,Bebida,N5
44,答える,こたえる・kotaeru,Responder (um questionamento),N5
45,乗る,のる・noru,Embarcar,N5
46,お菓子,おかし・okashi,Doce; guloseima,N5
47,洗う,あらう・arau,Lavar,N5
48,一昨日,おととい・ototoi,Anteontem,N5
49,多い,おおい・ooi,Numeroso,N5
50,待つ,まつ・matsu,Esperar; aguardar,N5
51,持つ,もつ・motsu,Segurar na mão; levar; possuir; manter,N5
52,冷たい,つめたい・tsumetai,Gelado (contrário de quente ao toque); frio (sentido figurado),N5
53,貸す,かす・kasu,Emprestar; alugar,N5
54,脱ぐ,ぬぐ・nugu,Despir-se; tirar peça de roupa,N5
55,短い,みじかい・mijikai,Curto,N5
56,遅い,おそい・osoi,Tardio; lento,N5
57,茶色,ちゃいろ・chairo,Marrom,N5
58,飛ぶ,とぶ・tobu,Voar,N5
59,長い,ながい・nagai,Longo; comprido,N5
60,痛い,いたい・itai,Doloroso; ai! (exclamação de dor),N5
61,渡る,わたる・wataru,Atravessar,N5
62,同じ,おなじ・onaji,Igual; mesmo; idêntico; similar,N5
63,豚肉,ぶたにく・butaniku,Carne de porco,N5
64,曇る,くもる・kumoru,Ficar nublado; embaçar-se; turvar-se,N5
65,入る,はいる・hairu,Entrar,N5
66,白い,しろい・shiroi,Branco,N5
67,薄い,うすい・usui,"Fino; ralo; diluído; fraco (sabor, cor…); esparso",N5
68,風呂,ふろ・furo,Banho; banheiro; banheira; casa de banho,N5
69,並ぶ,ならぶ・narabu,Enfileirar-se; ficar em fila,N5
70,本棚,ほんだな・hondana,Estante de livros,N5
71,毎晩,まいばん・maiban,Toda noite,N5
72,また,mata,De novo; outra vez; novamente,N5
73,遊ぶ,あそぶ・asobu,Brincar; jogar,N5
74,来る,くる・kuru,Vir,N5
